"id","kode_divisi","tanggal","jenis","no_bukti","no_invoice","kode_coa","kode_nasabah","kode_customer","kode_sumberdaya","kode_spk","kode_tahap","kode_faktur","kode_alat","volume","keterangan","dk","rupiah","no_bapb","no_bpm","id_ap_payment","id_ar_receive","id_cashbook","id_unitprice","id_rik_tahap","kode_bank","kode_modul","bukti_potong","kode_batch","tr_level","no_terbit","posted_by","posted_date",
"125670","V","2016-01-01","K","330001/01/K/16","","11111","TAC1","","","5WGA09","","","","100","BIAYA LAIN","D","6950000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"125671","V","2016-01-01","K","330001/01/K/16","","41111","TAC1","","A54G00","5WGA09","200200","","","100","330221/01/K/16 BI LAIN-LAIN","K","6950000000","","","","","","","","","GL","","0","PROYEK","330221/01/K/16","","0000-00-00 00:00:00",
"132740","V","2016-01-02","K","330001/02/K/16","","11111","TAC2","","","5WGA09","","","","100","BI. LAIN-LAIN","D","5750000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132741","V","2016-01-02","K","330001/02/K/16","","48141","TAC2","","ZA1410","5WGA09","","","","100","330232/01/K/16 BI. LAIN2","K","5750000000","","","","","","","","","GL","","0","PROYEK","330232/01/K/16","","0000-00-00 00:00:00",
"132742","V","2016-01-02","K","330002/02/K/16","","11111","TAC1","","","5WGA09","","","","100","PENGISIAN KAS - GL 157824","D","50000000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132743","V","2016-01-02","K","330002/02/K/16","","11121","TAC1","","","5WGA09","","","","100","PENGISIAN KAS - GL 157824","K","50000000000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132744","V","2016-01-02","K","330003/02/K/16","","11111","TAC2","","","5WGA09","","","","100","OPNM MDR IYAN","K","5034600000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132745","V","2016-01-02","K","330003/02/K/16","","41121","TAC2","","C10009","5WGA09","200200","","","100","PEK. PENGECORAN","D","5034600000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132746","V","2016-01-02","K","330004/02/K/16","","11111","TAC2","","","5WGA09","","","","100","POT. MANDOR IYAN","D","15246000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132747","V","2016-01-02","K","330004/02/K/16","","21121","TAC2","","","5WGA09","","","","100","POT. MANDOR IYAN","K","15246000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132748","V","2016-01-02","K","330005/02/K/16","","11111","TAC2","","","5WGA09","","","","100","OPNM MDR PURNO","K","6531310000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132749","V","2016-01-02","K","330005/02/K/16","","41121","TAC2","","C24004","5WGA09","200400","","","100","PEK.BEKISTING VERTIKAL","D","6531310000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132750","V","2016-01-02","K","330006/02/K/16","","11111","TAC2","","","5WGA09","","","","100","POT. MANDOR PURNO","D","19788600","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132751","V","2016-01-02","K","330006/02/K/16","","21121","TAC2","","","5WGA09","","","","100","POT. PPH 21","K","19788600","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132752","V","2016-01-02","K","330007/02/K/16","","11111","TAC2","","","5WGA09","","","","100","OPNM MDR SYARIF","K","17994100000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132753","V","2016-01-02","K","330007/02/K/16","","41121","TAC2","","C24004","5WGA09","200400","","","100","PEK.BEKISTING HORIZONTAL","D","13128500000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132754","V","2016-01-02","K","330007/02/K/16","","41121","TAC2","","C24004","5WGA09","200400","","","100","PEK.BEKISTING HORIZONTAL","D","4865600000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
"132755","V","2016-01-02","K","330008/02/K/16","","11111","TAC2","","","5WGA09","","","","100","POT. MANDOR SYARIF","D","86158000","","","","","","","","","GL","","0","PROYEK","","","0000-00-00 00:00:00",
